folioviv,ubica_geo
100215605,1001
100215606,1001
100217901,1001
100217902,1001
100217903,1001
100217904,1001
100217905,1001
100220702,1001
100220703,1001
100220704,1001
100220705,1001
100220706,1001
100225001,1001
100225003,1001
100225004,1001
100225005,1001
100239201,1001
100239202,1001
100239204,1001
100239206,1001
100264801,1001
100264802,1001
100264803,1001
100264804,1001
100264805,1001
100264806,1001
100266501,1001
100266502,1001
100266504,1001
100266505,1001
100272301,1001
100272302,1001
100272303,1001
100272304,1001
100272305,1001
100272306,1001
100295601,1001
100295602,1001
100295603,1001
100295604,1001
100295606,1001
100296701,1001
100296702,1001
100296703,1001
100296704,1001
100296705,1001
100296706,1001
100298201,1001
100298202,1001
100298203,1001
100298204,1001
100298205,1001
100298206,1001
100309902,1001
100309904,1001
100309905,1001
100309906,1001
100310804,1001
100310805,1001
100310806,1001
100317502,1001
100317503,1001
100317504,1001
100317505,1001
100317506,1001
100318301,1001
100318302,1001
100318303,1001
100318304,1001
100318305,1001
100318306,1001
100320401,1001
100320402,1001
100320403,1001
100320404,1001
100320405,1001
100320406,1001
100322001,1001
100322002,1001
100322004,1001
100322005,1001
100322006,1001
100327401,1001
100327402,1001
100327403,1001
100327405,1001
100327406,1001
100329601,1001
100329602,1001
100329603,1001
100329604,1001
100329605,1001
100329606,1001
100331701,1001
100331703,1001
100331704,1001
100331706,1001
100344201,1001
100344202,1001
100344203,1001
100344204,1001
100344205,1001
100344206,1001
100347501,1001
100347502,1001
100347503,1001
100347504,1001
100347505,1001
100347506,1001
100360301,1001
100360303,1001
100360304,1001
100360305,1001
100360306,1001
100363001,1001
100363002,1001
100363003,1001
100363004,1001
100363005,1001
100363006,1001
100374901,1001
100374902,1001
100374905,1001
100387901,1001
100387902,1001
100391801,1001
100391802,1001
100391805,1001
100398601,1001
100398602,1001
100398603,1001
100398604,1001
100398605,1001
100398606,1001
100403701,1001
100403702,1001
100403705,1001
100403706,1001
100407801,1001
100407803,1001
100407804,1001
100407805,1001
100407806,1001
100414201,1001
100414202,1001
100414203,1001
100414204,1001
100414205,1001
100414206,1001
100443401,1001
100443402,1001
100443403,1001
100443404,1001
100443405,1001
100446501,1001
100446503,1001
100446504,1001
